Bauwerke mit der Benotung 1,5 bis 1,9
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
59 Lärmschutzwand 	Stützwand entlang Straba Wolfartsweier Sichtschutz auf der Winkelschutzwand 2 	N13-101 	1,9
60 Stützwand 	3. STW Tiefentalstr 1.155-1.211 	N14-201 	1,7
61 Stützwand 	1. STW Tiefentalstr 0.020-0.177 	N14-203 	1,7
62 Stützwand 	Stützmauer im Birkenwäldle 1 im Baugebiet _ Fünfzig Morgen _ in Hohenwettersbach 	O15-203 	1,8
63 Fußgängerbrücke 	Fußgängersteg ü.d. Wettersbach in Grünwettersbach nördl. d. Bachgasse 	P14-06 	1,9
64 Stützwand 	Stützmauer an der Hohenwettersbacher Straße zwischen ' Löhl und Am Berg ' 	P14-201 	1,9
65 Stützwand 	Stützmauer (Evergreen Raumgitterwand ),sowie Anbau Wandscheibe im Bereich Pfeilerweg 	Q14-202 	1,7

-- 2 of 15 --

Bauwerke mit der Benotung 1,0 bis 1,4
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
1 sonstiges Bauwerk 	Albschleuse, Brücke i.Z.e Wirtschaftsweges 	B05-03 	1,1
2 Fußgänger-UF 	Geh- und Radwegunterführung unter der Verbindungsstraße zur B 36 	D08-02 	1,3
3 Lärmschutzwand 	LSW ehemalige US Kaserne 	D09-101 	1
4 Verkehrszeichenbrücke 	VZB Südtangente (11) 	F03-401 	1
5 Fußgängerbrücke 	Fußgängerbrücke ü.d. L 604 b.d. Albert-Schweitzer-Straße 	F12-01 	1
6 Stützwand 	Stützmauer Evergreen Raumgitterwand (westl F13-07) 	F13-202 	1,1
7 Stützwand 	Stützmauer Raumgitterwand im Bereich Jägerhausseen in der Waldstadt 	F13-203 	1
8 Waldwegbrücke 	Waldwegbrücke ü.d. nördl Federbachbypass (km0,580) 	G03-06 	1,4
9 Lärmschutzwand 	Sichtschutzwand Rheinbergstraße 23 	G04-101 	1
10 Stützwand 	Stützmauer im Bereich B10 bei der Stadtbahnbrücke KA-Wörth 	G04-201 	1
11 Stützwand 	Hochwasserschutzwand nördl der Burgaubrücke in Knielingen 	G04-203 	1
12 Stützwand 	Hochwasserschutzwand beim Albhäusleweg 1 	G04-204 	1
13 Stützwand 	Stützmauer Elsässer Straße 8 	G05-201 	1
14 Lärmschutzwand 	Lärmschutzwand Landauer Straße (Baugebiet Rennbuckel III) 	G06-101 	1,2
15 Stützwand 	STW Friedrich-Naumann-Str 	G07-202 	1
16 Lärmschutzwand 	Lärmschutzwand i.Z.d. Linkenheimer Landstraße zw. Lorbeerweg / Sanddornweg 	G09-101 	1
17 Lärmschutzwand 	Lärmschutzwand im Bereich Waldeckstraße in Hagsfeld süd 	G13-105 	1
18 Fußgängerbrücke 	Fußgängersteg ü.d. Alte Bach in Hagsfeld 	G14-01 	1,2
19 Lärmschutzwand 	Lärmschutzwand Neureuter Straße B 36 Seydlitzstraße 	H06-101 	1,1
20 Fußgängerbrücke 	Fußgängersteg ü.d. Alten Bach in Hagsfeld 	H13-02 	1,1
21 Lärmschutzwand 	Lärmschutzwand westlich der Bahn / nördlich vom Bahnhof Hagsfeld in verl. Neubrunnenstr. 	H13-105 	1,2
22 Straßenbrücke 	Straßenbrücke ü.d. Pfinz i.Z.d. Brückenstraße (L 604) 	H14-01 	1
23 Gleisbrücke 	Bahnbrücke ü. d. Alb i. Z. d. Honsellstraße (KVVH) 	J05-02 	1,3
24 sonstiges Bauwerk 	Treppenturm an der Fußgängerbrücke Kurzheckweg im Bereich Honsellstr 	J05-07 	1
25 Stützwand 	Hochwasserschutzwand entlang der nördl. Uferstr 	J05-201 	1
26 Stützwand 	Hochwasserschutzwand entlang der Wikingerstr 	J05-202 	1
27 Lärmschutzwand 	Lärmschutzwand Hardtschule Lückenschluß zum Wall 	J06-101 	1
28 Straßenbrücke 	Straßenbrücke ü.d. Pfinzentlastungskanal i.Z.d. Alte Weingartener Straße 	J15-03 	1,4
29 Fußgängerbrücke 	Bedienungssteg für das Auslaufbauwerk beim Rheinstrandbad 	K01-01 	1,2
30 Straßenbrücke 	Straßenbrücke ü.d. Alter Fderbach i.Z.d. Fritschlachweges 	K04-01 	1,4
31 Fußgänger-UF 	Fußgängerunterführung beim Entenfang 	K06-14 	1,3
32 Lärmschutzwand 	LSW-Gabionen B10 Kühler Krug - Entenfang 	K07-101 	1
33 Tunnel 	Straßenbrücke ü.d. Kriegsstraße (B 10) i.Z.d. Karlstraße 	K09-05 	1
34 Fußgängerbrücke 	südl Fußgängerbrücke ü.d. Kriegsstraße (B 10) i.Z.d. Ritterstraße 	K09-07 	1,1
35 Verkehrszeichenbrücke 	VZB Ludwig-Erhard-Allee Station 1670 (B10) 	K10-409 	1

-- 3 of 15 --

36 Straßenbrücke 	Straßenbrücke über die Pfinz i.Z.d. Pforzheimer Straße 	K14-08 	1,2
37 Stützwand 	Stützmauer entlang der Rampe zum Bahnhof Durlach im Zuge der Stadtbahn K_he / Bretten ( Block 1 ) 	K14-201 	1
38 Stützwand 	Stützmauer entlang der Rampe zum Bahnhof Durlach im Zuge der Stadtbahn K_he / Bretten ( Block 2 ) 	K14-202 	1
39 sonstiges 	Bahnsteigüberdachung im Bereich Bahnhof Durlach bei der Stadtbahn Haltestelle 	K14-302 	1
40 sonstiges 	Dachkonstruktion im Bereich Treppenabgang Untermühlsiedlung der Fußgängerunterführung Bahnhof Durlach 	K14-303 	1
