Bauwerke mit der Benotung 1,5 bis 1,9
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
110 Straßenbrücke 	Straßenbrücke ü.d. Pfinz i.Z.d. Hubstraße 	K14-06 	2,2
111 Lärmschutzwand 	Lärmschutzwand Untermühlsiedlung im Zuge der B 10 und Stadtbahn KA _Bretten 	K14-101 	2,1
112 Straßenbrücke 	Überführung der Hubstraße über K 9659 	K14-12 	2,4
113 Fußgänger-UF 	Fußgängerunterführung beim Bahnhof Durlach 1991 	K14-13 	1,0 bis 2,4
114 Gleisbrücke 	Brücke ü.d. Pfinz bei km 0+781,26 Stadtbahn KA-Bretten 	K14-14 	2,2
115 Gleisbrücke 	Überführung der Stadtbahn KA-Bretten ü.d. Bahnlinie KA-Heidelberg 	K14-15 	2
116 Stützwand 	Stützmauer entlang der Rampe zum Bahnhof Durlach im Zuge der Stadtbahn K_he / Bretten ( Block3 ) 	K14-203 	2
117 Straßenbrücke 	Straßenbrücke über die Pfinz i.Z.d. Alte Weingartener Straße 	K15-03 	2,0 bis 2,4

-- 7 of 15 --

118 Fußgängerbrücke 	Fußgängerbrücke über die Pfinz i. Bereich d. Alte Weingartener Straße 	K15-04 	2,3
119 Straßenbrücke 	Straßenbrücke ü. d. Gießbach im Zuge d. L604 	K15-08 	2
120 Straßenbrücke 	Überführung der Alte Weingartener Straße über die Stadtbahn STW 	K15-11 	1,0 bis 2,4
121 Straßenbrücke 	Staigbrücke ü.d. Kirchstraße 	K16-14 	1,0 bis 2,2
122 Fußgängerbrücke 	Rad- und Gehwegbrücke ü.d. Pfinz beim Hühnerlochwehr 	K16-17 	2
123 Straßenbrücke 	Oberausbrücke ü.d. Pfinz i.Z.d. Oberaus-Friedrich-Straße 	K17-02 	2,4
124 Straßenbrücke 	Straßenbrücke ü.d. Pfinz i.Z.d. Obermühlweges 	K17-03 	2,3
125 Straßenbrücke 	Rodbergbrücke ü.d. Pfinz i.Z.d. Wirtschaftsweges zum Rodberg 	K17-05 	2,4
126 Tunnel 	GWW im Bereich Oberaustraße bei der DB-Brücke 	K17-301 	2,1
127 sonstiges Bauwerk 	Verbreiterung des nördlichen Rad u. Gehweges an der Pfinz bei der Rotbergbrücke 	K17-302 	2,2
128 Straßenbrücke 	Wegbrücke ü.d.Fritschlachwasser im Gewann Fritschlach 	L04-01 	2,3
129 Straßenbrücke 	Wegbrücke ü.d. Alter Federbach Gewann Fritschlach 	L04-02 	2,1
130 Fußgängerbrücke 	Fußgängersteg ü.d. Alter Federbach im Gewann Fritschlach 	L04-03 	2,1
131 Verkehrszeichenbrücke 	B36 / Rheinhafenstraße 	L05-401 	2,2
132 Fußgänger-UF 	Fußgängerunterführung u. Pulverhausstraße (Grünwinkler Schule) 	L06-01 	1,5 bis 2,2
133 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb (BW 23b) 	L07-01 	2,1
134 Fußgängerbrücke 	Fußgängerbrücke über die K 9657 (BW25a) 	L07-04 	2,2
135 Fußgängerbrücke 	Esperantobrücke - Fußgängerbrücke ü.d. Pulverhausstraße beim Schwimmschulweg 	L07-05 	2,3
136 Fußgängerbrücke 	Fußgängerbrücke Otto-Wels-Straße ü.d. Pulverhausstraße 	L07-06 	2,4
137 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb (BW 25b) 	L07-07 	2,2
138 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb 	L07-08 	2
139 Stützwand 	Stützmauer für Geh-und Radweg ( Unterführung der Pfalzbahn) 	L07-202 	1,3 bis 2,2
140 Verkehrszeichenbrücke 	Südtangente 	L07-401 	2,2
141 Verkehrszeichenbrücke 	K 9657 FR Osten 	L07-402 	2,4
142 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb (BW 32) 	L08-06 	2
143 Lärmschutzwand 	Lärmschutzwand / Metallwände im Bereich Bulacher Hochbrücke 	L08-102 	2,2 bis 2,3
144 Fußgänger-UF 	Fußgängerunterführung Tiergartenweg unter der Ettlinger Straße 	L09-01 	1,6 bis 2,3
145 Fußgängerbrücke 	Karl-Birkmann-Brücke Fußgängerbrücke Tiergartenweg 	L09-07 	2,3
146 Fußgänger-UF 	Fußgängerunterführung Albtalbahnhof Rahmen 	L09-09 	1,6 bis 2,3
147 Stützwand 	Stützwand und Treppenanlage i.d. 'Breite Straße' in Beiertheim STW 	L09-201 	2,3 bis 2,4
148 Verkehrszeichenbrücke 	Ettlinger Straße vor Ettlinger Allee 	L09-401 	2,1
149 sonstiges 	MASTEN Ettlinger Straße vor der Poststraße 	L09-402 	2,1
150 Verkehrszeichenbrücke 	VZB Ettlingerstr /Luisenstr 	L09-403 	2,3
151 Straßenbrücke 	Überführung der Wasserwerkstraße über die Südtangente 	L10-04 	1,2 bis 2,0
152 Verkehrszeichenbrücke 	Rüppurrer Straße bei Hausnr. 130 	L10-401 	2,3
153 Stützwand 	EVERGREEN Raumgitter Stützwand im Bereich der Wolfartsweierer Brücke 	L11-201 	2
154 Verkehrszeichenbrücke 	K 9652 / Wolfartsweierer Straße 	L11-402 	2,2
155 Fußgänger-UF 	Fußgängerunterführung Durlacher Allee b. Bahnhof Durlach 	L14-01 	2,1
156 Stützwand 	Stützmauer im Zuge der Badener Str. Nr. 12 	L15-201 	2
157 Straßenbrücke 	Wegbrücke ü.d. Neuen Federbach im Gewann Kastenwörth 	M02-01 	2,3

-- 8 of 15 --

158 Fußgänger-UF 	Fußgängerunterführung im Bereich der Verbindungsstraße L 605 zur Pulverhausstraße 	M07-09 	2,2
159 Verkehrszeichenbrücke 	Pulverhausstraße vor L605 	M07-401 	2,2
160 Verkehrszeichenbrücke 	L 605 FR Ettlingen 	M07-405 	2,2
161 Fußgängerbrücke 	Fußgängerbrücke ü.d. Malscher Landgraben b.d. Martinstraße 	M08-01 	2
162 Straßenbrücke 	Bulacher Brücke Straßenbrücke ü.d. Alb i.Z.d. Litzenhardtstraße (BW 34) 	M08-02 	2,2
163 Straßenbrücke 	Feldwegbrücke ü.d. Petergraben i.Z.d. Lohwiesenweges 	M08-05 	2,0 bis 2,3
164 Straßen-UF 	Unterführung d. Litzenhardtstraße im Bereich der Südtangente (BW 33) 	M08-06 	1,8 bis 2,3
165 Lärmschutzwand 	Lärmschutzwand i.Z.d. Abfahrtsrampe Ost i.Z.d.Verb.L 605- K 9657,sowie freie Strecke L 605 & Abfahrtsrampe 	M08-101 	2,4
166 Tunnel 	Edeltrudtunnel - Südtangententunnel (BW 39) 	M08-11 	1,0 bis 2,3
167 Straßenbrücke 	Brücke ü.d. Alb i.Z.d. verlängerten Gebhardstraße (BW 35) 	M08-12 	1,2 bis 2,3
168 Straßenbrücke 	Schwarzwaldbrücke - Straßenbrücke ü.d. Rangierbahnhof (Alter Teil) 	M09-04 	2,3
169 Straßenbrücke 	Stephanienbadbrücke - Straßenbrücke ü.d. Alb i. Z.d. Weiherfeldstraße (BW 38) 	M09-05 	2,2
170 Straßenbrücke 	Dr.-Friedrich-Kappes-Brücke - Fußgängerbrücke ü.d. Alb beim Neckarplatz (BW 47) 	M09-06 	2
171 Fußgängerbrücke 	Fußgängersteg ü.d. Alb beim Stephanienbad westl.d. Unterführung 	M09-07 	2,2
172 Straßenbrücke 	Schwarzwaldbrücke - Straßenbrücke ü.d. Rangierbhf. (Neuer Teil) -BW 51- 	M09-10 	2,4
173 Fußgänger-UF 	Geh- und Radwegunterführung beim VfB Südstadt (Zufahrt zu den Parkplätzen) (BW 53) 	M09-12 	2
174 Fußgängerbrücke 	Fußgängerrampe zur Weiherfeldbrücke (BW 44a) 	M09-16 	2,3
175 Straßenbrücke 	Überführung der Südtangente ü.d. Alb (BW 48) 	M09-18 	2
176 Tunnel 	GWW Südtangente BA IV Rampe West 	M09-301 	1,0 bis 2,2
177 Verkehrszeichenbrücke 	Ettlinger Allee 	M09-401 	2,2
178 Fußgängerbrücke 	Fußgängersteg ü.d. Scheidgraben im Oberwald 	M11-03 	2,2
179 Durchlass 	Oberwaldgrabendurchlaß beim Hausengraben 	M12-01 	2
180 Straßenbrücke 	Feldwegbrücke ü.d. Hausengraben im Gewann 'Langen Heck' 	M12-02 	2
181 Straßenbrücke 	Feldwegbrücke ü.d. Hausengraben beim Oberwaldstadion 	M12-04 	2
182 Straßenbrücke 	Überführung eines Hauptwirtschaftsweges ü.d. Südtangente i.Z.d. Kieselweges (BW 61) 	M12-07 	2
183 Stützwand 	Stützmauer und Treppenanlage ' Paula Modersohn Straße ' STW 	M14-201 	2,0 bis 2,2
184 Straßenbrücke 	Straßenbrücke beim Eisenhafengrund i.Z.d. Rittnertstraße (K 9654) 	M16-01 	2,2
185 Straßenbrücke 	Feldwegbrücke ü.d. Malscher Landgraben beim Gut Scheibenhardt 	N07-01 	2,3
186 Straßenbrücke 	Überführung der L 605 ü.d. Bahnlinie KA-Rastatt 	N07-02 	2,4
187 Straßenbrücke 	Überführung der L 605 ü.d. Wilhelm-Leuschner-Straße 	N07-04 	2,4
188 Fußgängerbrücke 	Fußgängersteg ü.d. Oberholzgraben im Gewann 'Forstlach' 	N08-04 	2
189 Fußgängerbrücke 	Fußgängersteg ü.d. Hertelgraben im Gewann 'Tiergarten' 	N08-05 	2
190 Straßenbrücke 	Straßenbrücke ü.d. Hertelgraben i.Z.d. Verbindungsstraße Bulach - Weiherfeld 	N08-06 	2,2
191 Fußgängerbrücke 	Fußgängersteg ü.d. Hertelgraben im Gewann Forstlach 	N08-07 	2,2
192 Straßenbrücke 	Straßenbrücke ü.d. Wehragraben i.Z.d. Scheibenhardter Weges 	N09-01 	2
193 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Mühlwiesenweges 	N09-02 	2,1
194 Straßenbrücke 	Straßenbrücke ü.d. Reiherbach i.Z.d. Scheibenhardter Weges 	N09-03 	2,2
195 Fußgängerbrücke 	Fußgängersteg ü.d. Reiherbach i.Z.d. Mühlwiesenweges 	N09-04 	2,3
196 Straßenbrücke 	Brücke ü.d. Alb beim Freibad Rüppurr 	N09-05 	2,2
197 Straßenbrücke 	Straßenbrücke ü.d. Wehragraben i.Z.d. Gottlob-Schreber-Weges 	N09-07 	2,2

-- 9 of 15 --

198 Fußgängerbrücke 	Fußgängersteg ü.d. Alb bei der St.Nikolaus-Kirche 	N09-09 	2
199 Fußgängerbrücke 	Fußgängersteg ü.d. Alb östl. des Mühlwiesenweges 	N09-12 	2,4
200 Straßenbrücke 	Brücke ü.d. Scheidgraben im Oberwald 	N11-01 	2,1
201 Stützwand 	Stützwand entlang Straba Wolfartsweier Winkelschutzwand 	N13-201 	2,1
202 Stützwand 	Stützwand entlang Straba Wolfartsweier Gabionenwand 	N13-202 	2,3
203 Fußgängerbrücke 	Fußgängersteg ü.d. Erlengraben i.Z. d. Brunnenstückweges 	O08-01 	2,3
204 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Brunnenstück Weges 	O09-02 	2
205 Straßenbrücke 	Brücke ü.d. Alb im Friedhof Rüppurr 	O09-03 	2,2
206 Fußgängerbrücke 	Fußgängersteg ü.d. Alb i.Z.d. Scheibenhardter Weges 	O09-04 	2,3
207 Fußgängerbrücke 	Fußgängersteg ü.d. Reiherbach beim Albwehr Scheibenhardter Weg 	O09-05 	2,4
208 Stützwand 	Stützwand Reiherbach - Scheibenhardter-Weg 	O09-201 	2,2
209 Fußgängerbrücke 	Grobrechen mit Bedienungssteg am Wettersbach 	O13-03 	2,3
210 Stützwand 	Stützmauer ' Lindenplatz ' 	P14-203 	2,2
211 Stützwand 	Stützmauer vor der Methodistischen Kirche 	P14-204 	2,2
212 Straßenbrücke 	Gewölbebrücke ü.d. Wettersbach b.Profil km 5+985 in Grünwettersbach 	Q14-03 	2,1

-- 10 of 15 --

Bauwerke mit der Benotung 2,5 bis 2,9
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
1 Bediensteg 	Wehr mit Bedienungssteg ü.d. 'Weißer Graben' Gemarkungsgrenze Eggenstein 	C07-02 	2,7
2 Stützwand 	Stützmauer an der Welschneureuter Straße in Neureut 	E07-201 	2,7
3 Stützwand 	Stützmauer Welschneureuter Straße - Kirchfeldstraße 	E07-203 	2,7
4 Straßenbrücke 	Überführung d. L 604 über d. L 560 im Bereich der Waldstadt 	F13-04 	2,5
5 Straßenbrücke 	Straßenbrücke über d. Bahnlinie KA / Mannheim i.Z.d. Verbindungsstraße Waldstadt/Büchig 	F13-05 	2,8
6 Straßenbrücke 	Kirchaubrücke über die Alb in Knielingen 	G04-09 	2,8
7 Stützwand 	Treppenanlage mit Stützmauer im Bereich Haltestelle Sengestraße (Nordbahn) Stützwand für Treppe 	G07-201 	1,0 bis 2,5
8 Lärmschutzwand 	Lärmschutzwand zw. Waldeck u. Beuthener Str 	G13-101 	2,9
9 Wirtschaftswegbrücke 	Wirtschaftswegbrücke ü.d. Weidgraben im Gewann Abtswiesen 	G15-02 	2,5
10 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb ( Leitbrücke) 	H05-02 	2,7
11 Gleisbrücke 	Straßenbahnbrücke ü.d.Alb im Gewann Litzelau 	H05-05 	2,7
12 Straßenbrücke 	Straßenbrücke ü.d. Hardtbahn i.Z.d. Siemensallee (nördl. Teil) 	H06-01 	2,7
13 Fußgängerbrücke 	Fußgängerbrücke zur August - Bebel - Straße 'Nordbahn' 	H07-02 	1,0 bis 2,7
14 Straßenbrücke 	Hagsfelder Brücke 	H13-01 	1,7 bis 2,8
15 Straßenbrücke 	Rheinhafenbrücke - Straßenbrücke i.Z.d. Rheinhafenstraße ü.d. DB-Gleise 	J05-04 	1,0 bis 2,7
16 Fußgängerbrücke 	Fußgängersteg ü.d. Alb i.Z.d. Honsellstraße 	J05-06 	2,8
17 Fußgängerbrücke 	Fußgängerbrücke ü.d. Starckstraße beim Bahnhof Mühlburg 	J06-03 	2,7
18 Feldwegbrücke 	Feldwegbrücke ü.d. Pfinz im Gewann Heegwiesen 	J14-03 	2,5
19 Straßenbrücke 	Straßenbrücke ü.d. Gießbach in Durlach i.Z.d. Alte Weingartener Straße 	J15-05 	2,8
20 Fußgängerbrücke 	Fußgängerbrücke ü.d. Pfinzentlastungskanal beim Beungrabendüker 	J15-10 	2,8
21 Fußgängerbrücke 	Fußgängersteg ü.d. Auslaufbauwerk beim Rheinstrandbad 	K01-02 	2,5
22 Straßenbrücke 	Rappenwörtbrücke Straßenbrücke ü.d. Altrhein i.Z. der Hermann-Schneider Allee 	K03-02 	2,8
23 Straßenbrücke 	Ludwig-Dürr-Brücke Straßenbrücke ü.d. Alb i.Z.d. Daxlander Straße alter Teil 	K04-02 	2,2 bis 2,7
24 Straßenbrücke 	Brücke ü.d. Alb i.Z.d. Verbindungsweges Silcherstraße 	K05-03 	2,9
25 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb beim Thomaswehr 	K05-09 	2,9
26 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Blohnstraße 	K06-05 	2,8
27 Straßenbrücke 	Zeppelinbrücke - Straßenbrücke ü.d. Alb i.Z.d. Zeppelinstraße 	K06-06 	2,7
28 Fußgängerbrücke 	Fußgängerrampe zur Vogesenbrücke (BW 13a) 	K06-13 	2,5
29 Fußgängerbrücke 	Fußgängersteg ü.d. Albseitenkanal b. Grünanlagen Albufer 	K06-21 	2,5
30 Verkehrszeichenbrücke 	VZB Kriegstraße/ Leopoldstraße 	K08-404 	2,8
31 Fußgängerbrücke 	Fußgängerbrücke ü.d. Fritz-Erler-Straße i.Z.d. Zähringerstraße Rampe Ost 	K10-02 	2,0 bis 2,9
32 Stützwand 	Stützwand Esplanade 	K10-201 	2,5
33 Verkehrszeichenbrücke 	VZB Waldhornstraße 	K10-406 	2,8

-- 11 of 15 --

34 Verkehrszeichenbrücke 	VZB Ludwig-Erhard-Allee Station 1500 (B10) 	K10-408 	2,5
35 Verkehrszeichenbrücke 	B10 Wolfartsweierer Str FR: Autobahn 	K11-401 	2,9
36 Verkehrszeichenbrücke 	B10 Wolfartsweierer Str FR: Stadtmitte 	K11-402 	2,9
37 Verkehrszeichenbrücke 	B10 Ludwig-Erhard-Allee FR Autobahn 	K11-403 	2,8
38 Gleisbrücke 	Industriegleisbrücke über die Pfinz beim Lenzenhubweg Durlach 	K14-02 	2,5
39 Gleisbrücke 	Industriegleisbrücke über die Pfinz i.Z.d. Pforzheimer Straße 	K14-07 	2,7
40 Straßenbrücke 	Pfinzbrücke im Zuge der K 9659 	K14-11 	2,9
41 Straßenbrücke 	Straßenbrücke über DB i.Z.d. Alte Weingartener Straße 	K15-01 	2,5
42 Lärmschutzwand 	Lärmschutzwand im Gewann In der Beun 	K15-101 	2,9
43 Fußgängerbrücke 	Fußgängerbrücke über d. B 10 und Bundesbahn beim Bahnhof Grötzingen 	K16-06 	1,7 bis 2,5
44 Straßenbrücke 	Überführung der Eisenbahnstraße ü.d. Pfinz BW 1 	K16-16 	2,5
45 sonstiges Bauwerk 	Geh- und Radweg südwestlich der Rotbergbrücke in Grötzingen Geländererneuerung 	K17-303 	2,7
46 Fußgängerbrücke 	Einlaufbauwerk beim Rheinstrandbad 	L01-01 	2,9
47 Fußgängerbrücke 	Fußgängerbrücke ü.d. Bannwaldallee, K 9657 bei der Junker-und-Ruih-Straße (BW 23a) 	L07-03 	2,8
48 Gleisbrücke 	Bannwaldbrücke - Straßenbahnbrücke nach Oberreut 	L07-10 	1,5 bis 2,7
49 Lärmschutzwand 	LSW i.B.d. Auffahrtsrampe West Bulacher Hochbrücke 	L07-101 	2,8
50 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Verbindung L 605 zur K 9657 (BW 26) 	L08-02 	2,7
51 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Verbindung K 9657 zur L 605 (BW 27) 	L08-03 	2,5
52 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Verbindung L 605 zur K 9657 (BW 28) 	L08-04 	2,5
53 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Verbindung K 9657 zur L 605 (BW 29) 	L08-05 	2,5
54 Straßenbrücke 	(Bulacher Hochbrücke) Straßenbrücke ü.d. DB, Bannwaldallee, K9657 und Alb i.Z.d. L 605 	L08-07 	1,9 bis 2,9
55 Fußgängerbrücke 	Beiertheimer Brücke - Fußgängerbrücke ü.d. Ebertstraße i.Z.d. Wartburg-/Welfenstraße 	L08-09 	2,7
56 Fußgänger-UF 	GESCHLOSSEN FGU Tiergartenweg 	L09-13 	2,9
57 Stützwand 	Stützwand und Treppenanlage i.d. 'Breite Straße' in Beiertheim STW 	L09-201 	2,3 bis 2,4
58 Straßenbrücke 	Überführung der K 9652 ü.d. Südtangente (BW 56) 	L11-05 	2,7
59 Straßenbrücke 	Überführung eines Hauptwirtschaftsweges ü.d. Südtangente i.Z. d. Zufahrtsstraße zum PSV (BW 57) 	L11-06 	2,5
60 Verkehrszeichenbrücke 	Durlacher Allee -Hauptbahn-Str 	L14-401 	2,7
61 Verkehrszeichenbrücke 	Durlacher Allee -Ernst-Friedrich-Str 	L14-402 	2,7
62 Straßenbrücke 	Verdolung des Malscher Landgrabens i.Z.d. Pulverhausstraße 	M07-01 	2,5
63 Fußgängerbrücke 	Brücke ü.d. Malscher Landgraben bei Friedhof Bulach 	M07-06 	2,7
64 Straßenbrücke 	Straßenbrücke ü.d. Pulverhausstraße i.Z.d. L 605 	M07-07 	2,9
65 Fußgängerbrücke 	Fugängerbrücke ü.d. Alb östl. d. Litzenhardtstraße 	M08-16 	2,7
66 Stützwand 	Dabau-Stützmauer im Bereich Tunnel ( BW 39 ) Südtangente BA IV 	M08-204 	2,5
67 Straßenbrücke 	Überführung der Ettlinger Allee ü.d. Südtangente (BW 52) 	M09-11 	2,9
68 Straßenbrücke 	Weiherfeldbrücke - Überführung der Neckarstraße über den Rangierbahnhof (BW 44) 	M09-15 	2,9
69 Straßenbrücke 	Feldwegbrücke ü.d. Hausengraben im Gewann Nahenhausen 	M12-05 	2,7
70 Straßenbrücke 	Straßenbrücke ü.d. Bahnlinie KA-Rastatt i.Z.d. verlängerten Litzenhardtstraße 	N07-03 	2,9

-- 12 of 15 --

71 Fußgängerbrücke 	Fußgängersteg ü.d. Petergraben im Gewann 'Weiherwiesen' 	N08-03 	2,5
72 Fußgängerbrücke 	Fußgängersteg ü.d. Reiherbach b.d. Weiherbrücke 	N09-10 	2,9
73 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Scheibenhardter Weges 	O09-01 	2,5
74 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb i.Z. d. Burbacher Straße 	O09-06 	2,8
75 Fußgängerbrücke 	Fußgängerbrücke ü.d. Herrenalber Straße bei der Battstraße 	O10-01 	1,7 bis 2,9
76 Stützwand 	Stützmauer im Bereich Hohenwettersbacher Straße 	P14-202 	2,7

-- 13 of 15 --

Bauwerke mit der Benotung 3,0 bis 3,4
TYP 	EIGENTÜEMER 	BW_NR_RBESCHREIBUNG 	BWNR_NeTLBW-Nr. 	PL-QD 	Prüfer ustands- Note
1 Stützwand 	Stadt Karlsruhe 	-6915 Stützwand im Bereich Willich zum Vehrkehrsübungsplatz 	G03-501 	G 	KG1 	3
2 Fußgängerbrücke 	Verkehrsbetriebe Karlsruhe GmbH 	-6916 Fußgängerbrücke zur Kurt - Schumacher - Straße 	G07-01 	1 	G 	KG1 	1,7 bis 3,0
3 Tunnel 	Stadt Karlsruhe 	-6916 Straßentunnel Schloßplatz Rampe Ost 	J09-01 	A 	J 	KG1 	2,7 bis 3,1
4 Straßenbrücke 	Stadt Karlsruhe 	6916-514 	Vogesenbrücke -Straßenbrücke ü.d. Carl-Metz Straße/ DB/ Listst. und B 10 i.Z.d. Michelinstr 	K06-02 	1 	K 	KG1 	3
5 Lärmschutzwand 	Stadt Karlsruhe 	6916-675 	Lärmschutzwand entlang der B 10 im Bereich der Hardtschule 	K06-101 	K 	KG1 	3
6 Straßenbrücke 	Stadt Karlsruhe 	6916-582 	Straßenbrücke ü.d. Alb i.Z.d. B 10 (BW 9) 	K06-12 	K 	KG1 	3
7 Straßenbrücke 	Stadt Karlsruhe 	6916-601 	Straßenbrücken ü.d. K 9657 beim Kühlen Krug 	K07-02 	1 	K 	KG1 	2,0 bis 3,2
8 Straßenbrücke 	Stadt Karlsruhe 	-6916 Straßenbrücke ü.d. Bahnlinie KA-Wilferdingen i.Z.d. Hubstraße 	K14-05 	K 	KG1 	3
9 Fußgängerbrücke 	Stadt Karlsruhe 	6917-610 	Fußgängerbrücke Rodbergweg 	K17-09 	1 	K 	KG1 	2,0 bis 3,0
10 Straßenbrücke 	Stadt Karlsruhe 	7016-622 	Überführung der Lindenallee und der B 36 	L05-02 	L 	KG1 	3,4
11 Fußgängerbrücke 	Stadt Karlsruhe 	-6916 Fußgängerbrücke Günther-Klotz-Anlage nördl. der Alb 	L07-09 	L 	KG1 	3
12 Verkehrszeichenbrücke Stadt Karlsruhe 	-7016 K 9657 FR Westen 	L08-405 	L 	KG1 	3,3
13 Straßenbrücke 	Stadt Karlsruhe 	7016-600 	Wolfartsweierer Brücke -Straßenbrück ü.d. Rangierbf i.Z.d. Wolfartsweierer Straße 	L11-03 	1 	L 	KG1 	2,5 bis 3,0
14 Fußgängerbrücke 	Stadt Karlsruhe 	-7016 Fußgängersteg ü.d. Malscher Landgraben beim Rolandplatz 	M07-08 	M 	KG1 	3
15 Fußgängerbrücke 	Stadt Karlsruhe 	-7016 Oberwaldstadion-Brücke - Fußgängerbrücke ü.d. K 9657 b.d. Killisfeldstraße 	M12-06 	M 	KG1 	3
16 Fußgängerbrücke 	Stadt Karlsruhe 	-7016 Fußgängersteg ü.d. Alb beim Freibad Rüppur 	N09-06.1 	N 	KG1 	3,3
17 Fußgängerbrücke 	Stadt Karlsruhe 	-7016 Fußgängersteg ü.d. Reiherbach beim Freibad Rüppurr 	N09-06.2 	N 	KG1 	3

-- 14 of 15 --

Bauwerke mit der Benotung 3,5 bis 4,0
TYP 	EIGENTÜEMER 	BW_NR_RBESCHREIBUNG 	BWNR_NeTLBW-Nr. 	PL-QD 	Prüfer 	Zustands- Note
1 Straßenbrücke Stadt Karlsruhe 	6916-559 	Straßenbrücke über den Pfinzentlastungskanal i.Z.d. Schwetzinger Straße 	F14-01 	F 	KG1 	3,5
2 Straßenbrücke Stadt Karlsruhe 	6916-532 	Straßenbrücke ü.d. Bundesbahn u. Hauptbahnstraße beim Bahnhof Durlach 	K13-03 	1 	K 	KG1 	2,5 bis 3,9
3 Straßenbrücke Stadt Karlsruhe 	-6916 Wegbrücke ü.d. Pfinz beim DJK Durlach 	K15-02 	K 	KG1 	3,7

-- 15 of 15 --

